,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
429,assassins creed syndicate,Action,M,PS4,Ubisoft,8.6,3.6,0.9,2.06,0.08,0.55,2015.0
430,star wars battlefront ii,Shooter,T,PS2,LucasArts,8.5,3.59,2.18,1.02,0.03,0.37,2005.0
432,cooking mama 2 dinner with friends,Simulation,E,DS,Majesco,6.9,3.58,1.6,1.49,0.1,0.39,2007.0
436,battlefield 4,Shooter,M,X360,Electronic Arts,8.7,3.54,2.16,1.05,0.02,0.32,2013.0
437,grand theft auto liberty city stories,Action,M,PS2,Rockstar Games,8.3,3.54,1.56,1.4,0.07,0.5,2006.0
438,the getaway,Action,M,PS2,Sony Computer Entertainment,7.7,3.54,1.23,1.77,0.05,0.49,2003.0
439,tomb raider iii adventures of lara croft,Adventure,T,PS,Eidos Interactive,8.2,3.54,1.66,1.58,0.12,0.18,1998.0
440,batman arkham asylum,Action,T,X360,Eidos Interactive,9.1,3.54,2.24,0.95,0.02,0.33,2009.0
441,assassins creed brotherhood,Action,M,X360,Ubisoft,9.1,3.53,2.87,0.39,0.03,0.25,2010.0
443,lego star wars the video game,Action,E,PS2,Eidos Interactive,7.9,3.53,1.98,1.14,0.01,0.41,2005.0
444,resident evil 5,Action,M,X360,Capcom,8.6,3.53,2.13,0.93,0.12,0.34,2009.0
446,nba 2k17,Sports,E,PS4,2K Sports,9.0,3.52,2.28,0.59,0.03,0.63,2016.0
447,fifa soccer 11,Sports,E,X360,EA Sports,8.7,3.52,0.71,2.39,0.02,0.4,2010.0
448,spyro 2 riptos rage,Platform,E,PS,Sony Computer Entertainment,8.7,3.52,2.14,1.21,0.01,0.17,1999.0
449,left 4 dead,Shooter,M,X360,Valve Corporation,8.7,3.52,2.66,0.49,0.05,0.31,2008.0
455,fifa soccer 2004,Sports,E,PS2,EA Sports,8.0,3.49,0.59,2.36,0.04,0.51,2003.0
458,battlefield bad company 2,Shooter,M,X360,Electronic Arts,9.0,3.48,2.11,1.01,0.04,0.33,2010.0
459,borderlands,Shooter,M,X360,2K Games,8.3,3.48,2.43,0.72,0.03,0.3,2009.0
460,mario amp sonic at the olympic winter games,Sports,E,DS,Sega,7.6,3.47,1.21,1.63,0.27,0.37,2009.0
462,guitar hero on tour,Misc,E10,DS,Activision,7.1,3.46,2.1,1.01,0.01,0.35,2008.0
466,tekken 4,Fighting,T,PS2,Namco,7.9,3.44,1.55,1.27,0.33,0.29,2002.0
468,littlebigplanet 2,Platform,E,PS3,Sony Computer Entertainment,9.1,3.43,1.83,1.07,0.06,0.47,2011.0
471,spider man 2,Action,T,PS2,Activision,7.9,3.41,1.75,1.2,0.02,0.43,2004.0
475,crash bash,Misc,E,PS,Sony Computer Entertainment,6.8,3.39,1.56,1.47,0.19,0.17,2000.0
478,the elder scrolls v skyrim special edition,Role Playing,M,PS4,Bethesda Softworks,8.3,3.36,1.24,1.5,0.08,0.54,2016.0
483,assassins creed iv black flag,Action Adventure,M,X360,Ubisoft,8.5,3.34,1.9,1.14,0.01,0.3,2013.0
484,nba 2k18,Sports,E10,PS4,2K Sports,8.1,3.34,2.13,0.57,0.04,0.59,2017.0
492,max payne,Shooter,M,PS2,Rockstar Games,8.1,3.31,1.99,1.05,0.05,0.22,2001.0
498,the lord of the rings the return of the king,Action,T,PS2,Electronic Arts,8.4,3.28,1.5,1.28,0.05,0.46,2003.0
506,tekken,Fighting,T,PS,Namco,8.3,3.24,0.95,1.3,0.77,0.22,1995.0
509,la noire,Adventure,M,PS3,Rockstar Games,9.1,3.21,1.29,1.31,0.12,0.49,2011.0
514,wwf smackdown 2 know your role,Fighting,T,PS,THQ,8.7,3.2,1.76,1.21,0.07,0.16,2000.0
516,assassins creed iv black flag,Action Adventure,M,PS4,Ubisoft,8.3,3.19,1.07,1.55,0.06,0.51,2013.0
519,assassins creed odyssey,Action Adventure,M,PS4,Ubisoft,9.5,3.18,1.18,1.4,0.09,0.51,2018.0
520,fallout new vegas,Role Playing,M,PS3,Bethesda Softworks,8.2,3.17,1.54,1.04,0.1,0.49,2010.0
521,ace combat 04 shattered skies,Simulation,E,PS2,Namco,8.9,3.17,2.06,0.56,0.38,0.17,2001.0
528,the elder scrolls iv oblivion,Role Playing,M,PS3,Bethesda Softworks,9.3,3.12,1.69,0.86,0.14,0.44,2007.0
533,tom clancys ghost recon wildlands,Shooter,M,PS4,Ubisoft,7.0,3.12,1.07,1.35,0.22,0.47,2017.0
534,nba 2k13,Sports,E,X360,2K Sports,8.6,3.11,2.62,0.21,0.01,0.28,2012.0
537,mass effect 2,Role Playing,M,X360,Electronic Arts,9.5,3.1,1.99,0.81,0.03,0.27,2010.0
541,saints row 2,Action,M,X360,THQ,7.9,3.07,1.98,0.79,0.02,0.28,2008.0
545,heavy rain,Adventure,M,PS3,Sony Computer Entertainment,8.8,3.06,1.29,1.24,0.06,0.48,2010.0
558,disney epic mickey,Platform,E,Wii,Disney Interactive Studios,7.0,3.02,2.04,0.63,0.12,0.23,2010.0
559,killzone 2,Shooter,M,PS3,Sony Computer Entertainment,9.1,3.02,1.4,1.07,0.08,0.46,2009.0
572,infamous,Action,T,PS3,Sony Computer Entertainment,8.7,2.99,1.76,0.68,0.12,0.42,2009.0
580,battlefield bad company 2,Shooter,M,PS3,Electronic Arts,8.9,2.96,1.33,1.11,0.08,0.44,2010.0
583,street fighter iv,Fighting,T,X360,Capcom,9.3,2.95,1.83,0.7,0.15,0.26,2009.0
592,mass effect,Role Playing,M,X360,Microsoft Game Studios,9.2,2.91,1.83,0.79,0.03,0.27,2007.0
597,world soccer winning eleven 7 international,Sports,E,PS2,Konami,9.2,2.9,0.08,1.24,1.13,0.45,2004.0
599,cooking mama cook off,Simulation,E,Wii,Majesco,5.9,2.89,1.41,1.12,0.05,0.3,2007.0
602,syphon filter,Shooter,T,PS,989 Studios,9.2,2.88,2.03,0.72,0.02,0.11,1999.0
604,mafia iii,Action Adventure,M,PS4,2K Games,6.9,2.87,0.72,1.67,0.04,0.44,2016.0
606,colin mcrae rally,Racing,E,PS,Sony Computer Entertainment,7.9,2.87,0.09,2.43,0.12,0.22,2000.0
610,the elder scrolls iii morrowind,Role Playing,T,XB,Bethesda Softworks,8.2,2.86,2.09,0.63,0.03,0.11,2002.0
612,assassins creed brotherhood,Action,M,PS3,Ubisoft,9.1,2.85,1.87,0.57,0.11,0.3,2010.0
621,bioshock,Shooter,M,X360,2K Games,9.6,2.83,1.65,0.85,0.05,0.28,2007.0
624,finding nemo,Platform,E,GBA,THQ,7.0,2.82,1.59,1.05,0.04,0.14,2003.0
625,medal of honor,Shooter,M,PS3,Electronic Arts,7.0,2.82,1.28,1.04,0.07,0.43,2010.0
628,gran turismo psp,Racing,E,PSN,Sony Computer Entertainment,7.8,2.82,0.43,0.91,0.31,1.16,2009.0
629,need for speed hot pursuit,Racing,E10,PS3,Electronic Arts,8.9,2.81,1.05,1.24,0.03,0.49,2010.0
631,killzone 3,Shooter,M,PS3,Sony Computer Entertainment,8.2,2.81,1.46,0.87,0.09,0.38,2011.0
643,ratchet amp clank going commando,Platform,T,PS2,Sony Computer Entertainment,8.7,2.78,1.44,0.83,0.26,0.25,2003.0
646,saints row the third,Action,M,X360,THQ,8.3,2.77,1.26,1.14,0.07,0.3,2011.0
653,la noire,Adventure,M,X360,Rockstar Games,9.1,2.73,1.55,0.92,0.02,0.24,2011.0
655,far cry primal,Action Adventure,M,PS4,Ubisoft,7.2,2.73,0.63,1.61,0.07,0.41,2016.0
656," eevee""",Role Playing,E,NS,Nintendo,8.3,2.73,1.22,0.8,0.51,0.2,2018.0
658,need for speed 2015,Racing,T,PS4,Electronic Arts,7.0,2.72,0.59,1.66,0.06,0.41,2015.0
667,call of duty 3,Shooter,T,X360,Activision,8.0,2.7,1.49,0.92,0.02,0.27,2006.0
668,lego star wars ii the original trilogy,Action,E10,PS2,LucasArts,8.4,2.69,1.85,0.64,0.01,0.19,2006.0
673,halo wars,Strategy,T,X360,Microsoft Game Studios,8.1,2.67,1.58,0.8,0.04,0.25,2009.0
674,call of duty 2 big red one,Shooter,T,PS2,Activision,8.5,2.67,1.48,0.92,0.01,0.26,2005.0
