,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
3726,jak and daxter the lost frontier,Platform,E10,PSP,Sony Computer Entertainment,7.5,0.62,0.18,0.28,0.0,0.16,2009.0
3731,red steel 2,Shooter,T,Wii,Ubisoft,7.8,0.62,0.35,0.21,0.01,0.06,2010.0
3733,viewtiful joe,Action,T,GC,Capcom,9.4,0.62,0.38,0.1,0.12,0.02,2003.0
3751,prince of persia the forgotten sands,Action,T,X360,Ubisoft,7.5,0.62,0.3,0.26,0.0,0.06,2010.0
3756,phoenix wright ace attorney trials and tribulations,Adventure,T,DS,Capcom,7.9,0.62,0.3,0.03,0.25,0.03,2007.0
3766,nba 2k9,Sports,E,PS3,2K Sports,8.3,0.62,0.56,0.0,0.0,0.05,2008.0
3767,dragon ball z ultimate tenkaichi,Fighting,T,PS3,Namco Bandai,5.0,0.62,0.27,0.18,0.09,0.07,2011.0
3768,wet,Shooter,M,PS3,Bethesda Softworks,6.9,0.62,0.22,0.27,0.01,0.11,2009.0
3772,fire emblem shadow dragon,Strategy,E10,DS,Nintendo,8.2,0.61,0.29,0.03,0.27,0.03,2009.0
3775,vanquish,Shooter,M,PS3,Sega,8.5,0.61,0.21,0.22,0.11,0.08,2010.0
3776,samurai warriors 2,Action,T,PS2,KOEI,5.6,0.61,0.02,0.02,0.57,0.01,2006.0
3783,sacred 2 fallen angel,Role Playing,M,PS3,CDV Software Entertainment,7.1,0.61,0.22,0.23,0.08,0.09,2009.0
3802,final fantasy iv advance,Role Playing,E10,GBA,Square Enix,8.6,0.61,0.27,0.1,0.22,0.01,2005.0
3823,wave race blue storm,Racing,E,GC,Nintendo,8.4,0.6,0.4,0.1,0.09,0.02,2001.0
3830,okami,Adventure,T,Wii,Capcom,9.0,0.6,0.43,0.09,0.04,0.05,2008.0
3833,suikoden,Role Playing,E,PS,Konami,8.2,0.6,0.21,0.14,0.21,0.04,1996.0
3834,muramasa the demon blade,Role Playing,T,Wii,Ignition Entertainment,8.0,0.6,0.32,0.13,0.11,0.04,2009.0
3840,call of juarez bound in blood,Shooter,M,X360,Ubisoft,7.6,0.6,0.3,0.24,0.0,0.06,2009.0
3873,pgr3 project gotham racing 3,Racing,E10,X360,Microsoft Game Studios,8.8,0.6,0.49,0.03,0.03,0.05,2005.0
3892,final fantasy anniversary edition,Role Playing,E10,PSP,Square Enix,7.4,0.59,0.39,0.02,0.13,0.05,2007.0
3896,metal gear solid v ground zeroes,Action Adventure,M,PS3,Konami Digital Entertainment,8.5,0.59,0.13,0.13,0.28,0.05,2014.0
3898,kane amp lynch 2 dog days,Shooter,M,PS3,Square Enix,6.3,0.59,0.17,0.28,0.05,0.1,2010.0
3899,2002 fifa world cup,Sports,E,PS2,EA Sports,7.9,0.59,0.21,0.17,0.16,0.06,2002.0
3915,dead or alive xtreme beach volleyball,Sports,M,XB,Tecmo,6.6,0.59,0.36,0.08,0.14,0.02,2003.0
3920,warioware diy,Misc,E,DS,Nintendo,8.3,0.59,0.17,0.18,0.2,0.04,2010.0
3921,shin megami tensei iv,Role Playing,M,3DS,Atlus,8.3,0.59,0.28,0.0,0.27,0.03,2013.0
3922,silent hill shattered memories,Adventure,M,PS2,Konami,8.0,0.59,0.13,0.22,0.01,0.23,2010.0
3924,madden nfl 06,Sports,E,X360,EA Sports,7.7,0.59,0.54,0.0,0.01,0.03,2005.0
3926,blur,Racing,E10,X360,Activision,8.3,0.59,0.25,0.27,0.0,0.06,2010.0
3936,alice madness returns,Adventure,M,PS3,Electronic Arts,6.7,0.59,0.22,0.24,0.04,0.08,2011.0
3937,harvest moon friends of mineral town,Simulation,E,GBA,Natsume,7.6,0.59,0.34,0.13,0.11,0.01,2003.0
3941,final fantasy explorers,Role Playing,E10,3DS,Square Enix,7.3,0.59,0.17,0.1,0.29,0.03,2016.0
3951,lego worlds,Misc,E10,NS,Warner Bros. Interactive Entertainment,5.0,0.58,0.21,0.33,0.0,0.04,2017.0
3952,diablo,Role Playing,M,PS,Electronic Arts,8.3,0.58,0.29,0.19,0.07,0.04,1998.0
3959,romancing saga,Role Playing,E10,PS2,Square Enix,6.0,0.58,0.06,0.04,0.47,0.01,2005.0
3982,tom clancys hawx,Action,T,X360,Ubisoft,6.9,0.58,0.31,0.19,0.02,0.06,2009.0
3984,international superstar soccer 98,Sports,E,N64,Konami,9.1,0.58,0.06,0.3,0.19,0.03,1998.0
3986,final fantasy the 4 heroes of light,Role Playing,E10,DS,Square Enix,7.2,0.58,0.22,0.1,0.23,0.03,2010.0
3989,kirby and the rainbow curse,Platform,E,WiiU,Nintendo,8.2,0.58,0.26,0.14,0.13,0.04,2015.0
4004,disney magic world 2,Simulation,E,3DS,Nintendo,7.5,0.58,0.07,0.25,0.23,0.02,2016.0
4011,disgaea 4 a promise unforgotten,Role Playing,T,PS3,NIS America,7.9,0.58,0.27,0.11,0.14,0.06,2011.0
4028,blazblue calamity trigger,Fighting,T,PS3,Aksys Games,8.5,0.57,0.36,0.1,0.06,0.06,2009.0
4031,bayonetta 2,Action,M,NS,Nintendo,9.5,0.57,0.26,0.2,0.07,0.04,2018.0
4034,ultra street fighter ii the final challengers,Fighting,T,NS,Capcom,7.0,0.57,0.22,0.22,0.09,0.04,2017.0
4041,harvest moon the tale of two towns,Simulation,E,DS,Natsume,6.3,0.57,0.27,0.06,0.22,0.03,2011.0
4042,beyond the beyond,Role Playing,E,PS,Sony Computer Entertainment,4.8,0.57,0.11,0.08,0.35,0.04,1996.0
4048,harvest moon sunshine islands,Simulation,E,DS,Natsume,9.0,0.57,0.35,0.03,0.17,0.03,2009.0
4053,3d dot game heroes,Role Playing,E,PS3,Atlus,7.5,0.57,0.36,0.12,0.03,0.07,2010.0
4070,top spin 3,Sports,E,PS3,2K Sports,7.8,0.57,0.08,0.37,0.0,0.12,2008.0
4078,resident evil outbreak file 2,Action,M,PS2,Capcom,5.8,0.57,0.19,0.15,0.17,0.05,2005.0
4089,breath of fire iv,Role Playing,T,PS,Capcom,8.4,0.56,0.11,0.08,0.34,0.04,2000.0
4091,everybodys golf,Sports,E,PS4,Sony Interactive Entertainment,8.1,0.56,0.12,0.22,0.17,0.06,2017.0
4094,odin sphere,Role Playing,T,PS2,Atlus,8.0,0.56,0.23,0.18,0.09,0.06,2007.0
4095,final fantasy iv the complete collection,Role Playing,E10,PSP,Square Enix,8.0,0.56,0.13,0.09,0.27,0.06,2011.0
4119,tom clancys hawx,Action,T,PS3,Ubisoft,7.5,0.56,0.21,0.22,0.05,0.09,2009.0
4122,xenoblade chronicles,Role Playing,T,3DS,Nintendo,8.6,0.56,0.24,0.15,0.13,0.04,2015.0
4124,tetris party deluxe,Puzzle,E,Wii,Majesco,7.3,0.56,0.33,0.16,0.02,0.05,2010.0
4125,puzzle amp dragons z super mario bros edition,Puzzle,E,3DS,Nintendo,7.8,0.56,0.09,0.11,0.35,0.02,2015.0
4126,metroid samus returns,Action Adventure,E10,3DS,Nintendo,9.1,0.56,0.3,0.15,0.07,0.05,2017.0
4135,resident evil 2,Action,M,N64,Capcom,9.0,0.56,0.39,0.09,0.07,0.01,1999.0
4138,bravely second end layer,Role Playing,T,3DS,Nintendo,7.4,0.56,0.22,0.11,0.2,0.03,2016.0
4158,enslaved odyssey to the west,Action,T,PS3,Namco Bandai,7.9,0.56,0.24,0.23,0.01,0.08,2010.0
4160,no more heroes,Action,M,Wii,Ubisoft,8.2,0.56,0.29,0.17,0.04,0.05,2008.0
4168,lunar silver star story complete,Role Playing,T,PS,Working Designs,7.6,0.55,0.27,0.18,0.06,0.04,1999.0
4173,metal gear solid 3 subsistence,Action,M,PS2,Konami,9.4,0.55,0.34,0.01,0.15,0.06,2006.0
4184,poochy amp yoshis woolly world,Platform,E,3DS,Nintendo,7.5,0.55,0.2,0.16,0.17,0.03,2017.0
4192,disgaea 3 absence of justice,Role Playing,T,PS3,NIS America,7.8,0.55,0.36,0.03,0.11,0.05,2008.0
4193,puyo puyo tetris,Puzzle,E,NS,Sega,8.3,0.55,0.22,0.18,0.12,0.04,2017.0
4200,dragon ball xenoverse 2,Action,T,NS,Namco Bandai Games,8.0,0.55,0.17,0.16,0.19,0.03,2017.0
4227,donkey kong jungle climber,Platform,E,DS,Nintendo,7.8,0.55,0.25,0.03,0.24,0.03,2007.0
4244,modnation racers,Racing,E,PSP,Sony Computer Entertainment,7.7,0.54,0.11,0.27,0.02,0.14,2010.0
4245,dynasty warriors gundam 3,Action,T,PS3,Tecmo Koei,6.5,0.54,0.11,0.05,0.36,0.02,2011.0
4250,dragon ball z shin budokai,Fighting,T,PSP,Atari,7.4,0.54,0.26,0.08,0.13,0.07,2006.0
4256,bulletstorm,Shooter,M,PS3,Electronic Arts,8.4,0.54,0.24,0.2,0.01,0.09,2011.0
4260,enslaved odyssey to the west,Action,T,X360,Namco Bandai,8.0,0.54,0.3,0.19,0.0,0.05,2010.0
4264,nba live 10,Sports,E,PS3,EA Sports,7.9,0.54,0.46,0.03,0.01,0.05,2009.0
4266,hotel dusk room 215,Adventure,T,DS,Nintendo,8.0,0.54,0.26,0.04,0.22,0.03,2007.0
4275,dragon ball z ultimate tenkaichi,Fighting,T,X360,Namco Bandai,6.0,0.54,0.39,0.1,0.01,0.05,2011.0
4278,valkyria chronicles ii,Role Playing,T,PSP,Sega,8.1,0.54,0.12,0.16,0.18,0.09,2010.0
4282,bust a groove,Misc,E,PS,989 Studios,7.7,0.54,0.09,0.06,0.35,0.04,1998.0
4283,fire emblem path of radiance,Role Playing,T,GC,Nintendo,8.6,0.54,0.29,0.08,0.16,0.01,2005.0
4287,metro 2033,Shooter,M,X360,THQ,7.4,0.54,0.22,0.23,0.03,0.05,2010.0
4288,mario tennis ultra smash,Sports,E,WiiU,Nintendo,6.1,0.54,0.16,0.2,0.15,0.03,2015.0
4290,tactics ogre let us cling together,Role Playing,T,PSP,Square Enix,9.0,0.54,0.15,0.07,0.27,0.05,2011.0
4292,two worlds ii,Role Playing,M,X360,SouthPeak Interactive,6.5,0.54,0.4,0.07,0.03,0.04,2011.0
4302,sacred 2 fallen angel,Role Playing,M,X360,CDV Software Entertainment,7.0,0.54,0.29,0.16,0.04,0.05,2009.0
4307,time crisis razing storm,Shooter,T,PS3,Namco Bandai,5.8,0.54,0.18,0.21,0.07,0.08,2010.0
4311,tatsunoko vs capcom ultimate all stars,Fighting,T,Wii,Capcom,8.3,0.54,0.3,0.16,0.03,0.05,2010.0
4312,dragon ball fusions,Role Playing,T,3DS,Namco Bandai Games,6.3,0.54,0.17,0.09,0.24,0.03,2016.0
4322,rune factory a fantasy harvest moon,Role Playing,E,DS,Natsume,8.1,0.53,0.35,0.01,0.14,0.03,2007.0
4324,clock tower,Adventure,M,PS,ASCII Entertainment,6.1,0.53,0.07,0.05,0.38,0.03,1997.0
4338,phoenix wright ace attorney justice for all,Adventure,T,DS,Capcom,7.6,0.53,0.21,0.04,0.26,0.03,2007.0
4348,excite truck,Racing,E,Wii,Nintendo,7.0,0.53,0.39,0.03,0.08,0.04,2006.0
4363,sonic amp sega all stars racing transformed,Racing,E10,WiiU,Sega,6.9,0.53,0.19,0.28,0.02,0.04,2012.0
4369,terminator salvation,Shooter,T,PS3,Warner Bros. Interactive,5.0,0.53,0.13,0.29,0.01,0.1,2009.0
4378,star fox command,Shooter,E10,DS,Nintendo,7.2,0.53,0.38,0.01,0.1,0.04,2006.0
4391,silent hill origins,Action,M,PSP,Konami,7.8,0.52,0.22,0.16,0.04,0.1,2007.0
4393,mystery dungeon shiren the wanderer,Role Playing,E,DS,Sega,7.1,0.52,0.17,0.0,0.33,0.02,2008.0
4394,gt pro series,Racing,E,Wii,Ubisoft,3.7,0.52,0.46,0.01,0.02,0.04,2006.0
4395,tales of symphonia dawn of the new world,Role Playing,T,Wii,Namco Bandai,6.8,0.52,0.21,0.05,0.24,0.02,2008.0
4397,fear 2 project origin,Shooter,M,X360,Warner Bros. Interactive,7.9,0.52,0.32,0.15,0.0,0.05,2009.0
4407,metal gear solid 2 substance,Action,M,PS2,Konami,8.5,0.52,0.18,0.14,0.16,0.05,2003.0
4422,the 3rd birthday,Role Playing,M,PSP,Square Enix,7.0,0.52,0.13,0.07,0.27,0.05,2011.0
4431,rune factory 2 a fantasy harvest moon,Role Playing,E,DS,Natsume,7.9,0.52,0.32,0.03,0.15,0.03,2008.0
4436,way of the samurai 3,Action,M,PS3,Agetec,6.5,0.52,0.18,0.08,0.22,0.04,2009.0
4456,lair,Action,T,PS3,Sony Computer Entertainment,5.5,0.51,0.36,0.04,0.08,0.04,2007.0
4471,soulcalibur broken destiny,Fighting,T,PSP,Namco Bandai,8.0,0.51,0.12,0.2,0.07,0.12,2009.0
4480,pro evolution soccer 2010,Sports,E,Wii,Konami,8.1,0.51,0.12,0.27,0.06,0.05,2009.0
4488,bleach soul resurreccion,Fighting,T,PS3,NIS America,6.7,0.51,0.27,0.11,0.07,0.06,2011.0
4497,dynasty warriors,Action,T,PSP,Tecmo Koei,6.6,0.51,0.18,0.0,0.3,0.02,2005.0
4498,ace combat zero the belkan war,Simulation,T,PS2,Namco,7.5,0.51,0.15,0.12,0.2,0.04,2006.0
4500,final fantasy ii anniversary edition,Role Playing,T,PSP,Square Enix,6.5,0.51,0.36,0.03,0.07,0.05,2007.0
4502,dragon ball raging blast,Fighting,T,X360,Namco Bandai,5.8,0.51,0.36,0.08,0.02,0.04,2009.0
4506,theatrhythm final fantasy,Misc,E10,3DS,Square Enix,7.8,0.51,0.22,0.07,0.18,0.03,2012.0
4520,fire emblem warriors,Action,T,NS,Nintendo,7.3,0.51,0.22,0.14,0.1,0.04,2017.0
4541,ruse,Strategy,T,PS3,Ubisoft,8.0,0.5,0.18,0.22,0.02,0.08,2010.0
4547,picross ds,Puzzle,E,DS,Nintendo,8.4,0.5,0.17,0.02,0.3,0.02,2007.0
4571,tactics ogre the knight of lodis,Role Playing,E,GBA,Atlus,8.5,0.5,0.13,0.05,0.31,0.01,2002.0
4574,hometown story,Simulation,E10,3DS,Natsume,5.5,0.5,0.29,0.13,0.04,0.04,2013.0
4576,dead or alive ultimate,Fighting,M,XB,Tecmo,8.1,0.5,0.3,0.1,0.08,0.02,2004.0
4584,pokemon art academy,Misc,E,3DS,Nintendo,7.8,0.5,0.18,0.12,0.17,0.03,2014.0
4586,epic mickey power of illusion,Platform,E,3DS,Disney Interactive Studios,6.6,0.5,0.36,0.05,0.04,0.04,2012.0
4590,picross 3d,Puzzle,E,DS,Nintendo,8.7,0.5,0.28,0.03,0.16,0.03,2010.0
4593,ridge racer 3d,Racing,E,3DS,Namco Bandai,7.4,0.5,0.19,0.16,0.12,0.03,2011.0
4598,alice madness returns,Adventure,M,X360,Electronic Arts,6.9,0.5,0.27,0.15,0.04,0.04,2011.0
4599,super monkey ball 3d,Action,E,3DS,Sega,5.7,0.5,0.26,0.15,0.05,0.04,2011.0
4603,wet,Shooter,M,X360,Bethesda Softworks,6.9,0.5,0.23,0.21,0.01,0.05,2009.0
4604,spider man 2,Action,E,DS,Activision,6.1,0.5,0.41,0.02,0.03,0.04,2004.0
4608,steel diver,Action,E10,3DS,Nintendo,5.6,0.5,0.31,0.1,0.05,0.04,2011.0
4615,resident evil the mercenaries 3d,Shooter,M,3DS,Capcom,6.3,0.49,0.16,0.17,0.13,0.03,2011.0
4617,dynasty warriors gundam 2,Action,T,PS3,Namco Bandai,5.9,0.49,0.09,0.07,0.32,0.03,2009.0
4623,tony hawks project 8,Sports,T,X360,Activision,8.4,0.49,0.44,0.02,0.0,0.04,2006.0
4625,story of seasons trio of towns,Simulation,E10,3DS,Marvelous Interactive,7.9,0.49,0.19,0.06,0.22,0.03,2017.0
4628,fire emblem radiant dawn,Strategy,E10,Wii,Nintendo,7.7,0.49,0.27,0.03,0.17,0.03,2007.0
4631,mario golf world tour,Sports,E,3DS,Nintendo,8.1,0.49,0.14,0.15,0.18,0.03,2014.0
4632,ace combat assault horizon,Action,T,X360,Namco Bandai,7.0,0.49,0.3,0.12,0.03,0.04,2011.0
4637,asphalt 3d,Racing,E10,3DS,Ubisoft,4.0,0.49,0.27,0.16,0.02,0.04,2011.0
4644,grandia iii,Role Playing,T,PS2,Square Enix,7.5,0.49,0.12,0.1,0.24,0.03,2006.0
4648,kane amp lynch 2 dog days,Shooter,M,X360,Square Enix,6.4,0.49,0.2,0.23,0.01,0.05,2010.0
4653,animal crossing amiibo festival,Party,E,WiiU,Nintendo,4.8,0.49,0.23,0.12,0.1,0.04,2015.0
4668,dragon ball z burst limit,Fighting,T,X360,Atari,7.3,0.49,0.24,0.18,0.03,0.05,2008.0
4670,crazy taxi,Racing,T,GC,Acclaim Entertainment,7.2,0.49,0.36,0.09,0.02,0.01,2001.0
4672,art academy lessons for everyone,Misc,E,3DS,Nintendo,8.0,0.49,0.2,0.05,0.21,0.02,2012.0
4683,tales of legendia,Role Playing,T,PS2,Namco,7.2,0.49,0.07,0.05,0.35,0.02,2006.0
4686,alone in the dark,Adventure,M,X360,Atari,6.3,0.49,0.14,0.3,0.0,0.05,2008.0
4701,atelier rorona alchemist of arland,Role Playing,T,PS3,NIS America,6.4,0.48,0.22,0.1,0.11,0.05,2014.0
4715,dark sector,Shooter,M,X360,D3 Publisher,7.1,0.48,0.22,0.2,0.01,0.05,2008.0
4729,harvest moon 64,Simulation,E,N64,Natsume,7.8,0.48,0.25,0.06,0.11,0.06,1999.0
4738,crazy taxi fare wars,Racing,E10,PSP,Sega,6.3,0.48,0.1,0.23,0.02,0.13,2007.0
4739,sonic lost world,Platform,E10,3DS,Sega,5.2,0.48,0.22,0.15,0.07,0.04,2013.0
4753,children of mana,Role Playing,E10,DS,Nintendo,7.0,0.48,0.16,0.01,0.29,0.01,2006.0
4763,fantavision,Puzzle,E,PS2,Sony Computer Entertainment,8.0,0.47,0.14,0.11,0.19,0.04,2000.0
4765,alien trilogy,Shooter,M,PS,Acclaim Entertainment,8.0,0.47,0.24,0.16,0.04,0.03,1997.0
4769,luigis mansion,Adventure,E,3DS,Nintendo,7.3,0.47,0.19,0.16,0.09,0.03,2018.0
4770,dynasty warriors gundam,Action,T,PS3,Namco Bandai,6.4,0.47,0.14,0.01,0.31,0.02,2007.0
4774,dark sector,Shooter,M,PS3,D3 Publisher,7.2,0.47,0.23,0.16,0.01,0.07,2008.0
4775,james bond 007 blood stone,Action,T,X360,Activision,6.2,0.47,0.2,0.23,0.0,0.05,2010.0
4782,fear 2 project origin,Shooter,M,PS3,Warner Bros. Interactive,8.2,0.47,0.19,0.2,0.01,0.08,2009.0
4785,unreal tournament iii,Shooter,M,X360,Midway Games,7.8,0.47,0.25,0.17,0.01,0.05,2008.0
4789,2010 fifa world cup south africa,Sports,E,PSP,EA Sports,6.8,0.47,0.09,0.23,0.03,0.12,2010.0
4794,valkyrie profile 2 silmeria,Role Playing,T,PS2,Square Enix,8.4,0.47,0.04,0.03,0.39,0.01,2006.0
4801,dead space extraction,Shooter,M,Wii,Electronic Arts,8.2,0.47,0.32,0.1,0.01,0.04,2009.0
4809,viva pinata trouble in paradise,Simulation,E,X360,Microsoft Game Studios,8.5,0.47,0.16,0.25,0.01,0.05,2008.0
4813,silent hill shattered memories,Adventure,M,Wii,Konami,7.3,0.47,0.22,0.19,0.01,0.05,2009.0
4814,flingsmash,Action,E,Wii,Nintendo,3.8,0.47,0.37,0.01,0.07,0.02,2010.0
4828,final fantasy crystal chronicles echoes of time,Role Playing,E10,DS,Square Enix,7.7,0.47,0.12,0.06,0.27,0.02,2009.0
4831,detective pikachu,Adventure,E,3DS,Nintendo,7.1,0.47,0.15,0.17,0.12,0.03,2018.0
4833,knack 2,Platform,E10,PS4,Sony Interactive Entertainment,6.7,0.47,0.14,0.25,0.01,0.07,2017.0
4842,two worlds ii,Role Playing,M,PS3,SouthPeak Interactive,6.5,0.47,0.26,0.1,0.06,0.04,2011.0
4843,sonic mania,Platform,E,NS,Sega,8.8,0.47,0.23,0.18,0.01,0.04,2017.0
4848,metal gear solid the twin snakes,Action,M,GC,Konami,8.1,0.47,0.3,0.08,0.07,0.01,2004.0
4860,classic nes series pac man,Puzzle,E,GBA,Nintendo,5.7,0.46,0.25,0.09,0.12,0.01,2004.0
4877,red faction armageddon,Shooter,M,PS3,THQ,7.0,0.46,0.2,0.15,0.03,0.07,2011.0
4884,need for speed hot pursuit,Racing,T,Wii,Electronic Arts,5.0,0.46,0.17,0.24,0.0,0.05,2010.0
4885,mario sports superstars,Sports,E,3DS,Nintendo,6.0,0.46,0.18,0.12,0.13,0.03,2017.0
4912,hyrule warriors definitive edition,Action,T,NS,Nintendo,8.0,0.46,0.21,0.15,0.07,0.03,2018.0
4917,.hack,Role Playing,T,PS2,Bandai,7.1,0.46,0.14,0.11,0.17,0.04,2003.0
4936,enter the matrix,Action,T,GC,Atari,6.5,0.45,0.34,0.09,0.02,0.01,2003.0
4937,dead or alive dimensions,Fighting,T,3DS,Tecmo Koei,7.8,0.45,0.13,0.22,0.07,0.03,2011.0
4943,bleach the blade of fate,Fighting,T,DS,Sega,8.2,0.45,0.29,0.01,0.12,0.03,2007.0
4947,phantasy star online episode i amp ii,Role Playing,T,GC,Sega,8.2,0.45,0.23,0.06,0.16,0.01,2002.0
4955,burnout dominator,Racing,E10,PSP,Electronic Arts,7.8,0.45,0.02,0.38,0.01,0.05,2007.0
4968,dynasty warriors strikeforce,Action,T,PSP,Tecmo Koei,6.4,0.45,0.03,0.02,0.38,0.02,2009.0
4978,fear 3,Shooter,M,PS3,Warner Bros. Interactive,7.8,0.45,0.21,0.16,0.01,0.07,2011.0
4994,pes 2009 pro evolution soccer,Sports,E,Wii,Konami,8.4,0.45,0.09,0.26,0.05,0.05,2009.0
5026,fear 3,Shooter,M,X360,Warner Bros. Interactive,7.8,0.45,0.3,0.11,0.01,0.04,2011.0
5034,vandal hearts,Role Playing,M,PS,Konami,7.7,0.45,0.14,0.09,0.19,0.03,1997.0
5035,virtua tennis 4,Sports,E,PS3,Sega,6.4,0.45,0.09,0.24,0.03,0.08,2011.0
5043,sid meiers civilization revolution,Strategy,E10,DS,2K Games,8.2,0.45,0.37,0.03,0.02,0.03,2008.0
5046,socom us navy seals fireteam bravo 3,Shooter,T,PSP,Sony Computer Entertainment,7.5,0.45,0.17,0.13,0.06,0.09,2010.0
5059,shin megami tensei devil survivor overclocked,Role Playing,T,3DS,Atlus,7.6,0.44,0.34,0.01,0.06,0.04,2011.0
5080,hey pikmin,Platform,E10,3DS,Nintendo,6.8,0.44,0.17,0.08,0.17,0.03,2017.0
5081,chocobo racing,Racing,E,PS,Square EA,5.4,0.44,0.07,0.05,0.3,0.03,1999.0
5096,star fox zero,Shooter,E10,WiiU,Nintendo,6.7,0.44,0.2,0.12,0.09,0.03,2016.0
5099,dragon ball fighterz,Fighting,T,NS,Bandai Namco Entertainment,9.0,0.44,0.21,0.13,0.07,0.03,2018.0
5103,tetris axis,Puzzle,E,3DS,Nintendo,7.8,0.44,0.2,0.14,0.06,0.03,2011.0
5109,samurai warriors 3,Action,T,Wii,Nintendo,5.1,0.44,0.09,0.02,0.32,0.01,2010.0
5111,yu gi oh 5ds tag force 4,Strategy,E,PSP,Konami,7.0,0.44,0.19,0.07,0.12,0.05,2009.0
5120,2014 fifa world cup brazil,Sports,E,X360,EA Sports,7.3,0.44,0.15,0.25,0.0,0.03,2014.0
5124,eternal sonata,Role Playing,T,PS3,Namco Bandai,8.3,0.44,0.19,0.12,0.07,0.05,2008.0
5127,hyperdimension neptunia,Role Playing,T,PS3,NIS America,5.3,0.44,0.22,0.1,0.07,0.04,2011.0
5142,the darkness,Shooter,M,X360,2K Games,8.3,0.44,0.36,0.04,0.01,0.03,2007.0
5162,007 quantum of solace,Shooter,T,PS2,Activision,7.8,0.43,0.17,0.0,0.0,0.26,2008.0
5174,dragon ball z shin budokai another road,Fighting,T,PSP,Atari,7.2,0.43,0.19,0.09,0.08,0.07,2007.0
5191,okamiden,Adventure,E10,DS,Capcom,8.3,0.43,0.21,0.07,0.13,0.02,2011.0
5199,mischief makers,Platform,E,N64,Nintendo,6.5,0.43,0.25,0.06,0.07,0.06,1997.0
5202,castlevania dawn of sorrow,Platform,T,DS,Konami,8.9,0.43,0.34,0.03,0.03,0.03,2005.0
5207,nba 2k18,Sports,E10,NS,2K Sports,7.5,0.43,0.3,0.06,0.03,0.04,2017.0
5209,doom 2016,Shooter,M,NS,Bethesda Softworks,8.2,0.43,0.24,0.15,0.01,0.04,2017.0
5213,tales of the world radiant mythology,Role Playing,T,PSP,Namco Bandai,7.0,0.43,0.17,0.01,0.23,0.02,2007.0
5214,atelier totori the adventurer of arland,Role Playing,T,PS3,NIS America,7.8,0.43,0.12,0.07,0.21,0.03,2011.0
5216,dawn of mana,Role Playing,T,PS2,Square Enix,6.3,0.43,0.07,0.05,0.29,0.02,2007.0
5224,def jam icon,Action,M,PS3,Electronic Arts,6.6,0.43,0.16,0.19,0.0,0.07,2007.0
5230,sin and punishment star successor,Shooter,T,Wii,Nintendo,8.4,0.43,0.19,0.14,0.06,0.03,2010.0
5246,2010 fifa world cup south africa,Sports,E,Wii,EA Sports,6.8,0.42,0.23,0.15,0.01,0.04,2010.0
5315,valkyrie profile covenant of the plume,Role Playing,T,DS,Square Enix,7.5,0.42,0.22,0.02,0.16,0.02,2009.0
5325,castlevania curse of darkness,Action,M,PS2,Konami,7.2,0.42,0.18,0.14,0.05,0.05,2005.0
5330,vanquish,Shooter,M,X360,Sega,8.3,0.42,0.19,0.16,0.03,0.04,2010.0
5331,castlevania the dracula x chronicles,Platform,T,PSP,Konami,8.0,0.42,0.22,0.09,0.04,0.07,2007.0
5340,zack amp wiki quest for barbaros treasure,Adventure,E,Wii,Capcom,8.7,0.42,0.18,0.16,0.03,0.04,2007.0
5350,zone of the enders the 2nd runner,Simulation,M,PS2,Konami,8.6,0.41,0.15,0.12,0.11,0.04,2003.0
5395,blazblue continuum shift,Fighting,T,PS3,Aksys Games,8.7,0.41,0.21,0.08,0.09,0.04,2010.0
5399,ogre battle 64 person of lordly caliber,Role Playing,T,N64,Atlus,9.1,0.41,0.1,0.02,0.25,0.04,2000.0
5403,nights journey of dreams,Platform,E,Wii,Sega,7.0,0.41,0.32,0.02,0.04,0.03,2007.0
5407,armored core,Simulation,T,PS,Sony Computer Entertainment,7.2,0.41,0.13,0.09,0.16,0.03,1997.0
5415,katamari forever,Puzzle,E,PS3,Namco Bandai,7.3,0.41,0.26,0.05,0.06,0.04,2009.0
5432,nintendo labo toy con 03 vehicle kit,Racing,E,NS,Nintendo,7.0,0.41,0.16,0.15,0.06,0.03,2018.0
5441,battlefield 2 modern combat,Shooter,T,X360,Electronic Arts,7.8,0.41,0.35,0.02,0.01,0.03,2006.0
5450,rune factory 3 a fantasy harvest moon,Role Playing,E,DS,Natsume,8.0,0.41,0.26,0.03,0.1,0.02,2010.0
5474,overlord,Adventure,T,X360,Codemasters,7.7,0.4,0.34,0.03,0.01,0.03,2007.0
5481,project x zone,Role Playing,T,3DS,Namco Bandai Games,6.5,0.4,0.18,0.04,0.15,0.02,2013.0
5491,yu gi oh 5ds stardust accelerator world championship 2009,Action,E,DS,Konami,7.5,0.4,0.27,0.01,0.09,0.03,2009.0
5540,castlevania portrait of ruin,Platform,T,DS,Konami,8.5,0.4,0.31,0.02,0.04,0.03,2006.0
5556,no more heroes 2 desperate struggle,Action,M,Wii,Ubisoft,8.5,0.4,0.2,0.11,0.04,0.03,2010.0
5567,etrian odyssey iv legends of the titan,Role Playing,T,3DS,Atlus,8.2,0.39,0.12,0.06,0.21,0.02,2013.0
